Label,Timestamp,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Ch_11,Ch_12,Ch_13,Ch_14,Ch_15,Ch_16,Ch_17,Ch_18
Infested,2026-02-09 13:51:33,24.44441032409668,104.19440460205078,347.8614807128906,114.7694320678711,127.52064514160156,176.11557006835938,38.692527770996094,50.57338333129883,37.41645431518555,31.870174407958984,2.69576096534729,3.82653284072876,570.0953369140625,344.0267639160156,676.2493286132812,382.94287109375,134.57176208496094,68.6600570678711
Infested,2026-02-09 13:51:43,24.44441032409668,107.01046752929688,352.42657470703125,116.44490051269533,128.994873046875,176.79554748535156,39.31660079956055,52.42362976074219,38.91311264038086,32.3604850769043,2.69576096534729,3.82653284072876,545.8605346679688,331.47869873046875,652.0687866210938,368.9728698730469,130.20254516601562,66.37139129638672
Infested,2026-02-09 13:51:52,24.44441032409668,108.88784790039062,361.5567932128906,118.95809936523438,132.68043518066406,178.83551025390625,41.81289291381836,55.50736999511719,41.40754318237305,33.34110641479492,3.369701147079468,3.82653284072876,505.4691467285156,304.2911682128906,621.4401245117188,353.3593139648437,124.95948791503906,62.93838882446289
Infested,2026-02-09 13:58:27,14.666646003723145,68.52424621582031,255.646224975586,92.15064239501952,93.61341857910156,117.63703918457033,26.21106719970703,28.370433807373047,18.458784103393555,30.88955307006836,2.0218207836151123,1.91326642036438,390.0652160644531,229.00262451171875,531.9720458984375,294.1921691894531,99.61805725097656,49.20637512207031
Infested,2026-02-09 13:58:34,16.296274185180664,77.9111328125,284.8629455566406,107.2298355102539,108.3556900024414,131.2366943359375,28.08328628540039,30.220680236816406,19.955442428588867,33.34110641479492,2.0218207836151123,1.91326642036438,454.6914367675781,258.281494140625,590.8114013671875,320.4886779785156,109.2303237915039,53.7837142944336
Infested,2026-02-09 13:58:42,16.296274185180664,77.9111328125,279.3847961425781,107.2298355102539,104.6701202392578,131.2366943359375,28.08328628540039,30.83742904663086,19.955442428588867,33.34110641479492,2.0218207836151123,1.91326642036438,440.8429565429688,242.5963897705078,575.4970703125,311.4492492675781,104.86111450195312,52.63937759399414
Infested,2026-02-09 14:04:24,31.777732849121094,140.80325317382812,513.1184692382812,201.8936767578125,229.2423095703125,278.1130065917969,34.32401657104492,38.23841094970703,27.937620162963867,43.14731216430664,3.369701147079468,3.82653284072876,1961.8665771484373,954.700439453125,1249.328369140625,664.80859375,276.1342468261719,149.9077911376953
Infested,2026-02-09 14:04:39,25.25922393798828,100.4396514892578,333.25311279296875,139.90142822265625,149.63404846191406,169.9957275390625,36.820308685302734,45.02264404296875,33.42536544799805,42.65700149536133,3.369701147079468,3.82653284072876,356.5980834960937,158.9424591064453,541.644287109375,304.0533752441406,108.35648345947266,49.20637512207031
Infested,2026-02-09 14:04:48,22.81478309631348,90.11408233642578,299.4712829589844,128.17315673828125,132.68043518066406,150.95620727539062,39.940673828125,48.72313690185547,33.924251556396484,41.6763801574707,3.369701147079468,3.82653284072876,182.3381805419922,67.96881866455078,403.0091552734375,230.91619873046875,77.77198791503906,35.474365234375
Infested,2026-02-09 14:18:05,25.25922393798828,87.29801177978516,254.7332000732422,111.4185028076172,116.46393585205078,135.99658203125,38.692527770996094,49.956634521484375,37.41645431518555,24.02520751953125,2.69576096534729,2.86989974975586,275.8153686523437,179.85594177246094,516.65771484375,329.5281066894531,117.09490966796876,53.7837142944336
Infested,2026-02-09 14:18:12,25.25922393798828,87.29801177978516,252.9071502685547,111.4185028076172,115.72682189941406,135.3166046142578,38.692527770996094,49.33988571166992,36.91756820678711,24.02520751953125,2.69576096534729,2.86989974975586,271.1991882324219,177.76458740234375,510.2095642089844,324.5975036621094,115.34722137451172,52.63937759399414
